filename,filepath,objective,ch1,ch2,ch3
4x_DM123_4um_beads_0002.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM123_4um_beads_0002.oir,4x,dm1,dm2,dm3
4x_DM123_4um_beads_0003.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM123_4um_beads_0003.oir,4x,dm1,dm2,dm3
4x_DM123_4um_beads_0004.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM123_4um_beads_0004.oir,4x,dm1,dm2,dm3
4x_DM145_4um_beads.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM145_4um_beads.oir,4x,dm1,dm4,dm5
4x_DM145_4um_beads_0001.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM145_4um_beads_0001.oir,4x,dm1,dm4,dm5
4x_DM145_4um_beads_0002.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM145_4um_beads_0002.oir,4x,dm1,dm4,dm5
4x_DM145_4um_beads_0003.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM145_4um_beads_0003.oir,4x,dm1,dm4,dm5
4x_DM145_4um_beads_0004.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/4x_DM145_4um_beads_0004.oir,4x,dm1,dm4,dm5
60x_DM123_500nm_beads.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM123_500nm_beads.oir,60x,dm1,dm2,dm3
60x_DM123_500nm_beads_0001.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM123_500nm_beads_0001.oir,60x,dm1,dm2,dm3
60x_DM123_500nm_beads_0002.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM123_500nm_beads_0002.oir,60x,dm1,dm2,dm3
60x_DM123_500nm_beads_0003.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM123_500nm_beads_0003.oir,60x,dm1,dm2,dm3
60x_DM123_500nm_beads_0004.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM123_500nm_beads_0004.oir,60x,dm1,dm2,dm3
60x_DM145_500nm_beads.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM145_500nm_beads.oir,60x,dm1,dm4,dm5
60x_DM145_500nm_beads_0001.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM145_500nm_beads_0001.oir,60x,dm1,dm4,dm5
60x_DM145_500nm_beads_0002.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM145_500nm_beads_0002.oir,60x,dm1,dm4,dm5
60x_DM145_500nm_beads_0003.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM145_500nm_beads_0003.oir,60x,dm1,dm4,dm5
60x_DM145_500nm_beads_0004.oir,E:/Matt/olympus/DM_offset_data/20201201/calibration/60x_DM145_500nm_beads_0004.oir,60x,dm1,dm4,dm5
